name,symptoms
Аскаридоз,
Бешенство,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Инкубационный период составляет в среднем 1-2 месяца (от 7 суток до 1 года и более). Его продолжительность зависит от локализации повреждения (удаленность от мозга) и количеством вирусных частиц, попавших в рану. Из места повреждения вирус бешенства по нервным волокнам должен попасть в мозг, где он вызывает энцефалит. Скорость движения вируса по нервам 3 мм/час.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Выделяют три стадии заболевания.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  1) Продромальный период длится 1-4 суток и проявляется повышением температуры, головной болью, утомляемостью, потерей аппетита. Отмечаются невралгии по ходу нервов, ближайших к месту укуса, повышенная чувствительность кожи в месте укуса, небольшие подергивания мышц.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  2) Стадия возбуждения — длится от 4 до 7 дней и проявляется периодическими приступами психомоторного возбуждения. Выражаются в резко повышенной чувствительности к малейшим раздражениям органов чувств: яркий свет, различные звуки, шум. Больные становятся агрессивными, буйными, появляются галлюцинации, бред, чувство страха, появляются судороги, парезы и параличи мышц. Стадия возбуждения, как правило, сопровождается лихорадкой до 40
  <sup>
   o
  </sup>
  С. По мере развития болезни приступы наступают все чаще, а межприступные промежутки укорачиваются.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  3) Стадия параличей, во время которой присоединяются признаки поражения черепных нервов: диплопия, парез лицевого нерва, парезы лицевых мышц. Наступает паралич глазных мышц, нарушается глотательная функция. Слюнотечение в сочетании с нарушением глотания приводит к появлению пены во рту, столь характерной для больных бешенством. В половине случаев отмечается водобоязнь: при попытке пить возникают резкие непроизвольные сокращения диафрагмы и других дыхательных мышц.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Общая продолжительность болезни 5-8, изредка 10-12 дней. Смерть обычно наступает от остановки дыхания вследствие повреждения дыхательного аппарата.
 </p>
</div>
"
Болезнь Лайма,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Появление на месте укуса клещом покраснения кожи. Красное пятно постепенно увеличивается по периферии, достигая 1-10 см в диаметре, иногда до 60 см и более. Форма пятна округлая или овальная, реже неправильная. Наружный край воспаленной кожи более красный, несколько возвышается над уровнем кожи. Со временем центральная часть пятна бледнеет или приобретает синюшный оттенок, создается характерная форма кольца. В месте укуса клеща, в центре пятна, определяется корочка, затем рубец. Пятно без лечения сохраняется 2-3 недели, затем исчезает.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Через 1-1,5 месяца развиваются признаки поражения нервной системы, сердца или суставов. Наблюдаются гриппоподобные симптомы, такие как головная боль, слабость, лихорадка, усталость, боли в горле, мышечные боли. Суставы горячие, отечные и болезненные (наиболее часто поражаются коленные суставы), боли в мышцах и сухожилиях.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Неврологические симптомы - параличи (наиболее часто на лице), нарушения кожной чувствительности, бессонница, потеря слуха.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Со стороны сердца: аритмия, повышение частоты сердечных сокращений, брадикардия, боли в грудной клетке, головокружение, укорочение дыхания.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Возможны и психиатрические изменения: депрессия, деменция.
 </p>
</div>
"
Брюшной тиф,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  На первой неделе заболевания возможны тяжелые головные боли, кашель, высокая температура, озноб, потеря аппетита, недомогание, усталость, слабость, запоры, боли в животе.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  На второй-третьей неделе заболевания – высокая температура тела, диарея, выраженная слабость, потеря веса, болезненный, увеличенный в размерах живот, после снижения температуры – возвышающаяся над уровнем кожи сыпь в области груди и живота.
 </p>
</div>
"
Ветряная оспа,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Симптомы ветряной оспы начинают проявляться с дрожи, жара, боли в животе, головной боли и общего состояния недомогания. За пару дней до этого на теле может появиться сыпь. Жар может быть сильнее в первые дни после появления сыпи (маленькие, зудящие, красные пятна на лице, голове, плечах, груди и спине). Также сыпь может появиться во рту, на веках и в области гениталий. При этом у одного больного может быть всего несколько нарывов, а другой весь ими покроется. Поначалу это красные отметины со светлыми волдырями. Они достаточно быстро исчезают и затягиваются коркой, которая, в свою очередь, отмирает в течение 2 недель. В первые 4-5 дней продолжают появляться новые нарывы и волдыри, поэтому одновременно могут протекать все стадии кожной сыпи.
 </p>
</div>
"
"Вирус Зика: инфекция, которую недооценили",
Геморрагическая лихорадка с почечным синдромом (ГЛПС),
Гепатит А,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Гепатит А начинается с температуры продолжительностью от 4 до 10 дней, ощущения слабости и недомогания, потери аппетита, тошноты и рвоты и боли в мышцах. В следующей стадии заболевания, когда в процесс вовлекается печень, моча темнеет. Еще день или два спустя, белок глаза и кожа желтеют (желтуха) и стул становится бесцветным. В это время изначальная лихорадка и тошнота исчезают. Больной может ощущать генерализованный зуд и боль в животе.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  У некоторых людей, особенно у детей, гепатит А может протекать бессимптомно, и поэтому заболевание может быть неправильно диагносцировано или вообще остаться незамеченным.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Гепатит А не оказывает тяжелого длительного повреждающего действия на печень, но в редких случаях тяжелая печеночная недостаточность может привести к коме и смерти. Большинство пациентов с острым гепатитом А полностью излечиваются от инфекции (в отличие от гепатитов В и С, которые вызывают хроническое устойчивое воспаление печени).
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  У людей, полностью выздоровевших от этого заболевания, вырабатываются антитела к гепатиту А и формируется стойкий пожизненный иммунитет.
 </p>
</div>
"
Гепатит В,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Заражение вирусом гепатита B приводит в большинстве случаев к развитию острого гепатита В. Реже у людей со сниженным иммунитетом или детей, инфицированных в родах, острый гепатит не наблюдается, а заболевание приобретает характер первично-хронического вялотекущего заболевания.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Скрытый (инкубационный) период при гепатите В составляет от 2 до 6 месяцев. Острый гепатит В может проявляться в разных формах: субклинической или безжелтушной, желтушной, холестатической и затяжной.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Болезнь начинается с повышения температуры, головной боли, общего недомогания, ломоты в теле. Симптомы болезни возникают постепенно и на первой стадии схожи с проявлениями ОРЗ. Через несколько дней снижается аппетит, появляются желтуха, боли в правом подреберье, тошнота, рвота, темнеет моча, обесцвечивается кал. Как правило, после появления желтухи состояние больных улучшается. Постепенно, в течение нескольких недель, происходит обратное развитие симптомов.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  В большинстве случаев при наличии адекватного иммунного ответа острый гепатит В завершается полным выздоровлением (90% случаев). При бессимптомном, безжелтушном течении, болезнь может переходить в хроническую форму.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Для хронического гепатита В характерно увеличение печени, боли или чувство тяжести в правом подреберье, разнообразные диспепсические явления; реже выявляются желтуха, кожный зуд, субфебрильная температура. Больные жалуются на снижение аппетита, отрыжку, тошноту, метеоризм, неустойчивый стул, общую слабость, потливость, снижение трудоспособности. Хронический гепатит В ведет к постепенному отмиранию клеток печени и разрастанию на месте отмерших клеток соединительной ткани циррозу. Таким образом печень постепенно перестает выполнять свои функции детоксикационную, белковосинтетическую, желчеобразовательную и др.
 </p>
</div>
"
Гепатит С,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  От момента заражения до клинических проявлений проходит от 2-3 недель до 6-12 месяцев. В случае острого начала болезни начальный период длится 2-3 недели, сопровождается суставными болями, утомляемостью, слабостью, расстройством пищеварения. Подъём температуры отмечается редко. Желтуха так же малохарактерна. Острый гепатит С диагностируется очень редко и чаще случайно.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  После острой фазы заболевания человек может выздороветь, заболевание может перейти в хроническую форму или в вирусоносительство. У большинства больных (в 70-80 % случаев) развивается хроническое течение. Переход острого гепатита С в хронический происходит постепенно: в течение нескольких лет нарастает повреждение клеток печени, развивается фиброз. Функция печени при этом может долгое время сохраняться. А первые симптомы (желтуха, увеличение живота в объеме, сосудистые звездочки на коже живота, нарастание слабости) могут появиться уже при циррозе печени.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Сочетание гепатита С с другими формами
  <span>
   вирусного гепатита
  </span>
  резко утяжеляет течение и прогноз заболевания.
 </p>
</div>
"
Гепатиты,
Герпес (кожи и слизистых оболочек),"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Инкубационный период колеблется в пределах от 1 до 26 суток.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  При простом герпесе наиболее часто поражается кожа лица в области губ и крыльев носа, слизистой оболочке ротовой полости. Реже высыпания локализуются на лбу, щеках, ушных раковинах, пояснице, гениталиях, пальцах рук и других местах.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  За 12 дней до появления высыпаний может отмечаться отек, гиперемия, жжение и зуд кожи или слизистых оболочек. Затем в месте поражения появляется группа скученных пузырьков с прозрачным содержимым на воспалённом основании. Через несколько дней содержимое везикул мутнеет, пузырьки лопаются и на их месте образуются язвочки, покрытые корочками. Помимо местных проявлений герпес сопровождается недомоганием, слабостью, в некоторых случаях — повышением температуры тела. Эпизод герпетической инфекции продолжается 12 недель.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Однако на этом заболевание не заканчивается. Особенностью вируса герпеса является то, что он способен проникать в нервные волокна и ганглии и сохранятся в них длительное время в латентном (спящем) состоянии. Этим объясняется рецидивирующее течение заболевания с периодами обострения и ремиссии. Рецидив может быть спровоцирован ослаблением иммунитета, переохлаждением, стрессом, нервным истощением и др. Как правило, новые эпизоды герпеса связаны именно с рецидивом «спящей» инфекции, а не с повторным инфицированием.
 </p>
</div>
"
Грипп,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  В острый период болезни у вас может быть высокая температура, головная боль, боли в мышцах и суставах (ломота), за которыми очень быстро последует насморк, кашель и боль в горле. Такое состояние может продолжаться неделю.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  В некоторых случаях болезнь распространяется на легкие, вызывая бронхит и пневмонию. Это чаще встречается у лиц пожилого возраста, курильщиков, людей с плохим здоровьем или у пациентов, у которых есть астма или другие заболевания легких.
 </p>
</div>
"
Грипп H1N1,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  У детей
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <ul>
  <li>
   Учащенное или затрудненное дыхание
  </li>
  <li>
   Кожа серого цвета или с синеватым оттенком
  </li>
  <li>
   Отказ от достаточного количества питья
  </li>
  <li>
   Сильная или непрекращающаяся рвота
  </li>
  <li>
   Нежелание просыпаться или отсутствие активности
  </li>
  <li>
   Возбужденное состояние, при котором ребенок сопротивляется, когда его берут на руки
  </li>
  <li>
   Некоторое облегчение симптомов гриппа, которые позже возобновляются, сопровождаясь жаром и усилившимся кашлем
  </li>
 </ul>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  У взрослых
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <ul>
  <li>
   Затрудненное дыхание или одышка
  </li>
  <li>
   Боль или сдавливание в груди или брюшном отделе
  </li>
  <li>
   Внезапное головокружение
  </li>
  <li>
   Спутанность сознания
  </li>
  <li>
   Сильная или непрекращающаяся рвота
  </li>
  <li>
   Некоторое облегчение симптомов гриппа, которые позже возобновляются, сопровождаясь жаром и усилившимся кашлем
  </li>
 </ul>
</div>
"
Дифтерия,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Заболевание обычно начинается с невысокой температуры и выделений из очага воспаления. Дифтерия глотки (наиболее опасная форма заболевания) часто сопровождается образованием характерных, содержащих коринебактерии фибринозных пленок сероватого цвета на поверхности слизистой оболочки. Увеличение размеров этих пленок может привести к затруднению дыхания. Через неделю или более от начала заболевания начинает проявляться действие токсина на удаленные от очага инфекции органы. У грудных детей заболевание прежде всего поражает полость носа (дифтерия носа), дети постарше чаще заболевают дифтерией зева.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Особенностью дифтерии (в отличие от ангины) является отсутствие боли в горле и высокой температуры. Хотя каждый врач при постановке диагноза «ангина» обязательно исключает возможность дифтерийной инфекции.
 </p>
</div>
"
Желтая лихорадка,
"Заболевания, вызываемые вирусом папилломы человека",
"Заболевания, передающиеся половым путем","<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <ul>
  <li>
   необычные выделения из половых органов,
  </li>
  <li>
   различные выросты слизистой оболочки наружных половых органов,
  </li>
  <li>
   зуд,
  </li>
  <li>
   ранки и язвочки,
  </li>
  <li>
   кожная сыпь,
  </li>
  <li>
   боль и жжение при мочеиспускании.
  </li>
 </ul>
</div>
"
Иерсиниоз,
Инфекционный мононуклеоз,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Инкубационный период продолжается от 4 до 6 недель.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Заболевание начинается остро. У больного появляются слабость, головная боль, боли в мышцах и суставах, боль в горле при глотании, нарушаются сон и аппетит, повышается температура тела до 38-39 о С. Затем отмечается увеличение шейных лимфатических узлов и небных миндалин (ангина). В процессе заболевания всегда в той или иной мере увеличивается печень и селезенка. Заболевание продолжается около 2-4 недель, затем начинается постепенное выздоровление.
 </p>
</div>
"
Кандидоз,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Грибок может поражать кожу и слизистые оболочки. Наиболее часто это слизистые оболочки ротовой (оральный кандидоз) полости, кишечника и влагалища (вагинальный кандидоз), складки кожи под молочными железами у тучных женщин или крайняя плоть необрезанных мужчин т.е. участки, где тепло и влажно.
 </p>
</div>
"
Клещевой энцефалит,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Заболевание развивается остро, через 1.5-3 недели после укуса. Вирус поражает серое вещество головного мозга, двигательные нейроны спинного мозга и периферические нервы, что проявляется судорогами, параличом отдельных групп мышц или целых конечностей и нарушении чувствительности кожи.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Позже, когда вирусное воспаление охватывает весь головной мозг, отмечаются упорные головные боли, рвота, потеря сознания, вплоть до коматозного состояния или наоборот развивается психомоторное возбуждение с утратой ориентации во времени и пространстве. Позже могут отмечаться нарушения сердечно-сосудистой системы (миокардит, сердечно-сосудистая недостаточность, аритмия), пищеварительной системы — задержка стула, увеличение печени и селезенки. Все перечисленные симптомы отмечаются на фоне токсического поражения организма — повышение температуры тела до 39-40°С.
 </p>
</div>
"
Корь,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Инкубационный период, т.е. время от заражения до появления первых симптомов, длится от 7 до 14 дней. Важно помнить, что болезнь начинается не с появления сыпи, а с симптомов простуды: температура 38-40 градусов, резкая слабость, отсутствие аппетита, сухой кашель, насморк. Позже появляется конъюнктивит (воспаление слизистой оболочки глаза).
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Примерно через 2-4 дня после первых симптомов болезни на слизистой оболочке щек (напротив коренных зубов) возникают мелкие беловатые высыпания.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  На 3-5 день болезни появляется сыпь в виде ярких пятен, которые имеют тенденцию сливаться между собой. Сначала она обнаруживается за ушами и на лбу, затем быстро распространяется ниже на лицо, шею, тело и конечности. Мелкие розовые пятна сыпи быстро увеличиваются в размерах, приобретают неправильную форму, иногда сливаются.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  В период максимального высыпания, через 2-3 дня после появления сыпи, температура снова может подниматься до 40.5°.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Сыпь держится 4-7 дней. На месте пятен остаются очаги коричневой пигментации, через 2 недели кожа становится чистой.
 </p>
</div>
"
Краснуха,
Лепра,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  По клиническим проявлениям можно выделить две формы заболевания: туберкулоидную и лепроматозную.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Для лепроматозной формы характерны преимущественно кожные поражения, а при туберкулоидной страдают нервы.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Заболевания развивается постепенно. Сначала нарастают симптом интоксикации. Повышается температура тела, появляется головная боль, боль в суставах и слабость. Некоторые больные жалуются на сонливость и нарушения потоотделения.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Первым характерным для лепры признаком является появление на коже темных или светлых пятен. Их особенностью является потеря чувствительности или ее извращение. Так же для пятен характерны участки уплотнения и инфильтрации, все это приводит к образованию крупных складок, особенно на лице. Именно поэтому одним из характерных симптомов заболевания является «львиное лицо».
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Так же характерно выпадение бровей, западение спинки носа, свисание мочек ушей.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  При лепре поражается слизистая носа. Это приводит к нарушению дыхания, носовым кровотечениям и разрушению носовой перегородки.
 </p>
</div>
"
Лимфаденит,
Лихорадка Денге,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Большинство симптомов как лихорадки Денге, так и тропической геморрагической лихорадки, очень схожи с симптомами гриппа:
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <ul>
  <li>
   высокая температура
  </li>
  <li>
   боль в костях и мышцах
  </li>
  <li>
   жжение и покраснение глаз
  </li>
  <li>
   кашель и насморк
  </li>
  <li>
   диарея
  </li>
  <li>
   сыпь
  </li>
 </ul>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  При подобных клинических появлениях стоит обратиться к врачу или вызвать его на дом.
  <br/>
  Симптомы тропической геморрагической лихорадки:
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <ul>
  <li>
   боль в животе и рвота, продолжающаяся 2-4 дня
  </li>
  <li>
   сильные подкожные кровоизлияния, кровотечения из носа, дёсен, кровавая рвота, ректальные кровотечения, чёрный стул, внутренние кровотечения
  </li>
  <li>
   мелкие кровоизлияния на коже, размером с булавочную головку.
  </li>
 </ul>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Такие проявления требуют обращения к врачу, в больницу, а иногда и вызова скорой помощи.
 </p>
</div>
"
Лихорадка Эбола,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Первые признаки Эболы отмечаются на 2-21 день от момента заражения. Обычно это:
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <ul>
  <li>
   температура от 38,5 градусов и выше;
  </li>
  <li>
   головная боль;
  </li>
  <li>
   боль в суставах и мышцах;
  </li>
  <li>
   боль и краснота в горле;
  </li>
  <li>
   мышечная слабость;
  </li>
  <li>
   боль в животе;
  </li>
  <li>
   потеря аппетита.
  </li>
 </ul>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  С развитием болезни у пациента снижается количество клеток, ответственных за свертывание крови. В результате у больного открываются многочисленные кровотечения, как внутренние, так и внешние — из глаз, ушей и носа. Нередко также встречаются рвота кровью, кровавый понос и сыпь по всему телу.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Среди заболевших в ходе эпидемии 2013–2014 годов умирает приблизительно каждый второй. Ранее отмечались вспышки заболевания со смертностью до 90%.
 </p>
</div>
"
Лямблиоз,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Лямблиоз может проявляться по-разному. При острой форме заболевания возникает тошнота и рвота, жидкий стул, снижение аппетита, боли в верхней части живота и вокруг пупка, вздутие живота. Эти симптомы продолжаются, как правило, в течение нескольких дней, а затем стихают. После этого заболевание переходит в хроническую форму.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Периодически происходят обострения, во время которых возникает вздутие живота и жидкий стул. Со временем появляются жалобы на повышенную утомляемость, снижение массы тела, головные боли.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  У детей лямблиоз нередко является причиной таких нарушений, как дискинезия желчевыводящих путей, реактивный панкреатит (кратковременное нарушение функций поджелудочной железы).
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Более чем в половине случаев лямблии никак себя не проявляют. У больных отсутствуют симптомы.
 </p>
</div>
"
Малярия,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Заболевание течет циклически. Приступ малярии обычно длится 6-10 ч и проявляется резким повышением температуры до высоких цифр и последовательной сменой периодов озноба с дрожью, жара и пота. Окончание приступа характеризуется снижением температуры до нормальных или субнормальных цифр и усиленным потоотделением, продолжающимся 2-5 ч. Затем наступает глубокий сон. Приступ обычно сопровождается головной и мышечной болью, усталостью, слабостью, тошнотой и рвотой. В некоторых случаях может быть желтуха (желтушность кожи и иктеричность склер), кома.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Цикл повторяется каждые 48 или 72 часа.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  При возникновении подобных симптомов рекомендуется как можно скорее обратиться к врачу. При подтверждении диагноза необходима госпитализация.
 </p>
</div>
"
Менингит,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  При подозрении на менингит пациенту необходимо обратиться к врачу или срочно госпитализировать.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  При появлении рвоты на фоне высокой температуры, озноба, сильной головной боли, раздражение при ярком свете, ригидности мышц шей (больной не может дотянуться подбородком до шеи), сонливости и высыпаний на коже, боль в суставах или мышцах, судорог необходимо срочно обратиться за медицинской помощью.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Менингит и менингококковую септицемию не всегда можно распознать сразу, так как симптоматика очень похожа на гриппозную. Инкубационный период составляет от 2 до 10 дней. Симптомы могут проявляться не все, и нет никакой последовательности в появлении. Важно помнить, что болезнь может сопровождаться и другими симптомами, что может ввести в заблуждение.
 </p>
</div>
"
Опоясывающий лишай,
"Острая кишечная инфекция, вызванная кишечной палочкой",
